Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Canceled Rides by Customer,Reason for canceling by Customer,Ride distance,Driver Rating,Customer Rating
5/20/2024,0:47,CNR2181241943,Success,CUST4657,Prime Plus,Fort,Kandivali,14.36,19.64,0,,18.36,3.3,3.3
5/21/2024,17:05,CNR7831113321,Success,CUST1520,Auto,Juhu,Chembur,13.26,17.02,0,,21.53,3,4.9
5/8/2024,19:01,CNR3410529190,Cancelled by Driver,CUST9928,Mini,Colaba,Jogeshwari,,,0,,,,
5/18/2024,0:48,CNR4460967357,Success,CUST7924,Prime Sedan,Lower Parel,Mulund,4.36,8.67,0,,9.82,4,3.9
5/7/2024,10:06,CNR5693307665,Success,CUST2584,Prime Sedan,Bhandup,Tardeo,9.95,7.79,0,,9.47,3.7,3.9
5/9/2024,1:46,CNR9256195745,Cancelled by Driver,CUST2291,Bike,Matunga,Vikhroli,,,0,,,,
5/19/2024,11:36,CNR1298737106,Success,CUST4733,Prime SUV,Matunga,Juhu,8.69,16.85,0,,2.35,4.2,3.3
5/26/2024,3:24,CNR6488854841,Success,CUST6977,Prime Plus,Charni Road,Bhandup,14.34,24.31,0,,24.44,3.6,3.2
5/7/2024,8:44,CNR3783290795,Cancelled by Customer,CUST3803,Bike,Elphinstone,Grant Road,,,1,Driver asked to cancel,,,
5/15/2024,8:59,CNR3392080953,Success,CUST6313,Prime SUV,Dadar,Colaba,3.59,14.9,0,,2,4.8,3.5
5/26/2024,10:25,CNR2149938334,Cancelled by Customer,CUST4456,Bike,Dongri,Sion,,,1,Driver asked to cancel,,,
5/20/2024,12:56,CNR2970753705,Success,CUST5339,Prime Plus,Grant Road,Fort,8.76,15.93,0,,6.36,4.9,4.6
5/18/2024,8:47,CNR7805745017,Success,CUST7543,Prime Sedan,Colaba,Malad,13.63,16.96,0,,27.73,3.2,3.4
5/16/2024,2:48,CNR1470939445,Success,CUST3621,Prime SUV,Antop Hill,Byculla,6.23,12.77,0,,8.87,4.7,3.7
5/19/2024,12:24,CNR5047709743,Success,CUST2876,eBike,Nariman Point,Girgaon,9.06,7.82,0,,24.26,3.1,5
5/9/2024,20:21,CNR5774080233,Cancelled by Driver,CUST8123,Prime Plus,Kalbadevi,Andheri,,,0,,,,
5/30/2024,23:16,CNR4272602734,Success,CUST9317,Auto,Vikhroli,Wadala,2.07,21.31,0,,21.5,4.5,4.5
5/26/2024,16:38,CNR1854316681,Success,CUST7126,Prime SUV,Powai,Nariman Point,6.66,7.32,0,,26.03,4.2,3.7
5/30/2024,16:58,CNR9592390865,Success,CUST6310,Mini,Bandra,Kurla,6.04,11.5,0,,22.16,4.3,4.8
5/29/2024,9:15,CNR1248786714,Success,CUST2290,Auto,Elphinstone,Khar,3.55,19.26,0,,23.06,4.1,4.5
5/25/2024,17:49,CNR1540137296,Success,CUST8787,Bike,Powai,Ghatkopar,8.8,13.55,0,,1.74,3.2,3.1
5/17/2024,19:27,CNR5141907136,Cancelled by Customer,CUST9835,Prime SUV,Elphinstone,Chunabhatti,,,1,Driver asked to cancel,,,
5/23/2024,12:42,CNR8086172302,Success,CUST8177,Bike,Jogeshwari,Kurla,8.61,23.15,0,,8.23,3.8,4.5
5/8/2024,2:21,CNR9680276057,Success,CUST4770,Bike,Colaba,Andheri,3,10.8,0,,5.68,4.9,4.6
5/3/2024,20:03,CNR1983297492,Cancelled by Customer,CUST1514,Prime SUV,Thane,Goregaon,,,1,Wrong Address,,,
5/8/2024,21:31,CNR3030106617,Incomplete,CUST8749,Prime SUV,Dahisar,Vile Parle,,,0,,,,
5/4/2024,21:27,CNR6816663775,Cancelled by Driver,CUST7735,Mini,Elphinstone,Dadar,,,0,,,,
5/21/2024,20:06,CNR5555296751,Success,CUST6559,Prime SUV,Kandivali,Grant Road,13.6,15.79,0,,24.42,4.8,3.6
5/6/2024,17:28,CNR5897045684,Success,CUST4006,Prime Sedan,Kalbadevi,Grant Road,4.96,13.54,0,,24.72,4.7,3
5/27/2024,2:28,CNR1420514789,Success,CUST9856,Prime SUV,Andheri,Juhu,7.43,9.44,0,,4.48,3.7,4.9
5/29/2024,7:10,CNR7040502394,Success,CUST8886,Prime Plus,Churchgate,Dadar,8.74,19.06,0,,11.55,4.9,4.9
5/5/2024,0:24,CNR7249213370,Success,CUST7930,eBike,Elphinstone,Parel,8.46,11.02,0,,9.26,3.1,4.2
5/21/2024,15:09,CNR6110572428,Success,CUST4566,Auto,Seepz,Fort,2.67,10.57,0,,27.34,3.5,3.3
5/17/2024,23:20,CNR1245522987,Success,CUST8811,Bike,Mazgaon,Powai,14.81,9.84,0,,20.49,4.5,3.5
5/2/2024,16:05,CNR4656488400,Cancelled by Driver,CUST2122,Bike,Goregaon,Antop Hill,,,0,,,,
5/26/2024,12:07,CNR3446737272,Success,CUST1651,Bike,Juhu,Dahisar,10.22,17.67,0,,16.54,3.2,4.7
5/20/2024,18:33,CNR2119980130,Success,CUST6147,Prime Plus,Ghatkopar,Churchgate,4.42,5.82,0,,18.14,4.4,3
5/4/2024,20:19,CNR7258731893,Success,CUST2188,Auto,Kalbadevi,Versova,4.94,17.9,0,,6.06,4.4,3.8
5/31/2024,3:04,CNR3309122187,Success,CUST9288,Prime Sedan,Malad,Bhandup,3.79,11.82,0,,4.29,4.8,4.8
5/27/2024,7:23,CNR2224011538,Success,CUST8179,Prime SUV,Nariman Point,Dongri,10.58,21.34,0,,17.1,4.1,3.5
5/10/2024,20:33,CNR9623534576,Success,CUST5905,eBike,Kandivali,Malad,13.66,23.01,0,,19.36,3.7,3.7
5/9/2024,3:47,CNR3376077463,Cancelled by Driver,CUST5462,Prime Sedan,Tardeo,Chembur,,,0,,,,
5/23/2024,6:43,CNR7393195616,Incomplete,CUST1832,Auto,Vikhroli,Byculla,,,0,,,,
5/26/2024,1:00,CNR9503167458,Incomplete,CUST3647,eBike,Jogeshwari,Parel,,,0,,,,
5/23/2024,17:00,CNR1480494664,Cancelled by Driver,CUST3442,Bike,Borivali,Charni Road,,,0,,,,
5/18/2024,4:27,CNR1547374338,Cancelled by Customer,CUST6050,Prime Sedan,Borivali,Bhandup,,,1,Driver asked to cancel,,,
5/22/2024,21:06,CNR9051829827,Success,CUST3532,Prime Plus,Powai,Santacruz,4.1,22.97,0,,18.59,3,3.2
5/27/2024,0:11,CNR9292791081,Cancelled by Customer,CUST5065,Prime Sedan,Powai,Chunabhatti,,,1,Driver is not moving towards pickup location,,,
5/12/2024,1:54,CNR3021598245,Success,CUST4269,Prime SUV,Kalbadevi,Bhandup,4.09,15.97,0,,21.06,4.3,3.4
5/10/2024,7:14,CNR9691572571,Cancelled by Driver,CUST4164,Mini,Thane,Lower Parel,,,0,,,,
5/27/2024,8:22,CNR7597996327,Success,CUST1452,Auto,Ghatkopar,Santacruz,6.23,19.93,0,,19.84,4.7,4.3
5/18/2024,8:02,CNR7161404428,Success,CUST6139,Mini,Tardeo,Kings Circle,3.22,12.35,0,,8.69,3.5,4.9
5/4/2024,18:12,CNR2094024844,Success,CUST8144,Auto,Mazgaon,Nariman Point,13.6,17.62,0,,24.05,4,4.2
5/22/2024,23:47,CNR3880327491,Success,CUST6967,Mini,Goregaon,Trombay,4.54,19.45,0,,9.14,3,4.3
5/29/2024,19:20,CNR9160639027,Success,CUST9308,Prime Sedan,Trombay,Dahisar,14.23,24.08,0,,27.53,3.7,3
5/11/2024,22:18,CNR3381183483,Incomplete,CUST4143,Mini,Trombay,CST,,,0,,,,
5/21/2024,5:39,CNR7739255769,Success,CUST7653,Bike,Andheri,Wadala,14.57,24.27,0,,25.74,3.6,3.8
5/9/2024,13:50,CNR8106906538,Cancelled by Driver,CUST8618,Mini,Jogeshwari,Antop Hill,,,0,,,,
5/7/2024,15:50,CNR5659161352,Success,CUST9445,eBike,Vikhroli,Versova,4.2,16.14,0,,28.15,4.4,4.1
5/11/2024,7:43,CNR2333241445,Success,CUST4262,Prime Plus,Bandra,Borivali,10,24.8,0,,5.06,4,4.8
5/8/2024,15:39,CNR5607762160,Cancelled by Driver,CUST7790,eBike,Sandhurst Road,Vile Parle,,,0,,,,
5/23/2024,12:31,CNR2716495971,Cancelled by Driver,CUST3417,eBike,Chunabhatti,Andheri,,,0,,,,
5/28/2024,3:49,CNR2825989011,Cancelled by Driver,CUST3881,Prime SUV,Chunabhatti,Mazgaon,,,0,,,,
5/15/2024,17:15,CNR5816198518,Success,CUST3184,Prime SUV,Kalbadevi,Trombay,5.82,21.19,0,,24.49,4.7,4.8
5/17/2024,17:38,CNR8995059760,Success,CUST8373,Prime Sedan,Girgaon,Grant Road,8.52,20.97,0,,19.85,4.4,4.6
5/26/2024,8:49,CNR6322520473,Incomplete,CUST8206,Auto,Dongri,Matunga,,,0,,,,
5/8/2024,10:20,CNR1346078411,Success,CUST3471,Prime Plus,CST,Chunabhatti,6.88,6.88,0,,17.77,3.1,3.9
5/5/2024,6:04,CNR7076811348,Success,CUST6421,Bike,Kalbadevi,Dahisar,5.73,16.82,0,,1.88,3.1,4.6
5/2/2024,13:24,CNR3987248494,Success,CUST7232,Mini,Andheri,Bhandup,3.65,15.44,0,,23.33,3.4,4.2
5/10/2024,12:54,CNR8884394611,Success,CUST9818,eBike,Fort,Nariman Point,2.67,15.63,0,,16.68,4.3,4.5
5/25/2024,7:31,CNR6237376063,Success,CUST8140,Mini,Bandra,CST,8.71,11.46,0,,24.06,3.5,3.9
5/11/2024,21:51,CNR1116402431,Success,CUST8022,Prime Plus,Kalbadevi,Santacruz,2.33,24.25,0,,25.24,4.4,3.8
5/2/2024,12:20,CNR6204041308,Success,CUST6355,Prime Sedan,Girgaon,CST,4.03,10,0,,16.93,4.4,4.3
5/9/2024,13:16,CNR4585915088,Success,CUST8705,Auto,Fort,Nariman Point,14.41,19.76,0,,17.08,4.2,3.8
5/2/2024,11:14,CNR3792347639,Success,CUST1659,Prime SUV,Bandra,Grant Road,6.63,20.16,0,,1.42,3.2,3.1
5/6/2024,0:39,CNR1654477195,Success,CUST3068,Mini,Trombay,Kurla,13.12,19.07,0,,14.75,3.2,4
5/18/2024,6:29,CNR8299146480,Success,CUST7043,Prime Plus,Tardeo,Fort,4.25,13.68,0,,12.56,4.2,4.3
5/23/2024,5:19,CNR9410288290,Success,CUST7498,eBike,Vile Parle,Goregaon,6.87,17.52,0,,15.59,4.7,4.3
5/19/2024,20:15,CNR8612747444,Success,CUST2983,Prime SUV,Sandhurst Road,Borivali,2.92,17.85,0,,1.77,4.2,4.9
5/11/2024,13:42,CNR2591589823,Success,CUST9289,eBike,Thane,Andheri,7.05,17.87,0,,14.29,4.1,4.9
5/26/2024,15:06,CNR5952059278,Success,CUST3885,eBike,Mazgaon,Worli,14.5,23.11,0,,6.68,3.1,3.2
5/9/2024,17:49,CNR7371573279,Success,CUST8136,Prime SUV,Elphinstone,Seepz,3.23,18.66,0,,3.06,3.6,4.7
5/9/2024,7:53,CNR5014170428,Success,CUST5569,Mini,Grant Road,Girgaon,12.59,10.64,0,,4.43,4.4,4.3
5/15/2024,19:42,CNR6922713963,Incomplete,CUST1470,Mini,Sion,Santacruz,,,0,,,,
5/16/2024,11:51,CNR6404582459,Cancelled by Driver,CUST5581,Bike,Chunabhatti,Lower Parel,,,0,,,,
5/18/2024,16:12,CNR1367704871,Cancelled by Driver,CUST7658,Mini,Parel,Girgaon,,,0,,,,
5/8/2024,15:41,CNR8352307139,Success,CUST8342,Prime SUV,Bandra,Juhu,4.31,20.01,0,,24.4,5,3.8
5/9/2024,12:44,CNR6339955011,Success,CUST7046,Mini,Parel,Mazgaon,12.09,11.82,0,,27.99,4.7,3.9
5/11/2024,23:35,CNR6715705115,Cancelled by Driver,CUST8434,Prime Sedan,Wadala,Ghatkopar,,,0,,,,
5/8/2024,23:12,CNR2355268102,Cancelled by Driver,CUST9779,Prime SUV,Chunabhatti,Santacruz,,,0,,,,
5/6/2024,23:30,CNR7858164010,Success,CUST2647,Prime SUV,Vile Parle,Matunga,13.73,15.11,0,,24.97,3.6,4.8
5/8/2024,5:19,CNR9650701349,Success,CUST9751,Prime Plus,Lower Parel,Borivali,2.14,23.11,0,,3.65,3.6,4.9
5/30/2024,17:18,CNR3108307952,Success,CUST1200,Bike,Matunga,Kamathipura,9.45,17.64,0,,14,3.6,3.7
5/16/2024,10:11,CNR5146780827,Cancelled by Customer,CUST5136,Prime SUV,Kamathipura,Kurla,,,1,Driver is not moving towards pickup location,,,
5/12/2024,2:36,CNR1230249217,Cancelled by Driver,CUST3444,Prime SUV,Sandhurst Road,Wadala,,,0,,,,
